ID,Sire,Dam,PC,yr
200291,100082,100081,29,2009
200292,101222,101221,29,2009
200301,100182,100181,30,2009
200302,101512,101511,30,2009
200311,101662,101661,31,2009
200312,100622,100621,31,2009
200321,100152,100151,32,2009
200322,NA,NA,32,2009
200341,102512,102511,34,2009
200342,100772,100771,34,2009
200351,NA,NA,35,2009
200352,101612,101611,35,2009
200361,100862,100861,36,2009
200362,101162,101161,36,2009
200371,100162,100161,37,2009
200372,101102,101101,37,2009
200381,100302,100301,38,2009
200382,100192,100191,38,2009
200401,100082,100081,40,2009
200402,100782,100781,40,2009
200411,100302,100301,41,2009
200412,101152,101151,41,2009
200431,NA,NA,43,2009
200432,101502,101501,43,2009
200451,100372,100371,45,2009
200452,100342,100341,45,2009
200471,101112,101111,47,2009
200472,101472,101471,47,2009
200491,100082,100081,49,2009
200492,101052,101051,49,2009
200521,100462,100461,52,2009
200522,102512,102511,52,2009
200541,NA,NA,54,2009
200542,100262,100261,54,2009
200561,100042,100041,56,2009
200562,101502,101501,56,2009
200571,100982,100981,57,2009
200572,100672,100671,57,2009
200581,101162,101161,58,2009
200582,100302,100301,58,2009
200591,102482,102481,59,2009
200592,101162,101161,59,2009
200601,100322,100321,60,2009
200602,100022,100021,60,2009
200611,101012,101011,61,2009
200612,100122,100121,61,2009
200621,101022,101021,62,2009
200622,100452,100451,62,2009
200631,100202,100201,63,2009
200632,101112,101111,63,2009
200641,102482,102481,64,2009
200642,101502,101501,64,2009
200661,101102,101101,66,2009
200662,NA,NA,66,2009
200681,102332,102331,68,2009
200682,101452,101451,68,2009
200691,101612,101611,69,2009
200692,101662,101661,69,2009
200701,100922,100921,70,2009
200702,100052,100051,70,2009
200711,100842,100841,71,2009
200712,101152,101151,71,2009
200721,100782,100781,72,2009
200722,100072,100071,72,2009
200731,100952,100951,73,2009
200732,100172,100171,73,2009
200741,101002,101001,74,2009
200742,101032,101031,74,2009
200751,101082,101081,75,2009
200752,NA,NA,75,2009
200761,101042,101041,76,2009
200762,102492,102491,76,2009
200771,102482,102481,77,2009
200772,NA,NA,77,2009
200781,102332,102331,78,2009
200782,100452,100451,78,2009
200791,NA,NA,79,2009
200792,101102,101101,79,2009
200811,100282,100281,81,2009
200812,100772,100771,81,2009
200821,100442,100441,82,2009
200822,101122,101121,82,2009
200831,102522,102521,83,2009
200832,101312,101311,83,2009
200841,100162,100161,84,2009
200842,100632,100631,84,2009
200851,100412,100411,85,2009
200852,NA,NA,85,2009
200871,101242,101241,87,2009
200872,100672,100671,87,2009
200881,100502,100501,88,2009
200882,102512,102511,88,2009
200891,100592,100591,89,2009
200892,100612,100611,89,2009
200911,100052,100051,91,2009
200912,100552,100551,91,2009
200921,NA,NA,92,2009
200922,102312,102311,92,2009
200931,100262,100261,93,2009
200932,102352,102351,93,2009
200941,102042,102041,94,2009
200942,100642,100641,94,2009
200951,102042,102041,95,2009
200952,101642,101641,95,2009
200961,102042,102041,96,2009
200962,100382,100381,96,2009
200971,101012,101011,97,2009
200972,NA,NA,97,2009
200981,100892,100891,98,2009
200982,102522,102521,98,2009
200991,100962,100961,99,2009
200992,101352,101351,99,2009
201001,100542,100541,100,2009
201002,100702,100701,100,2009
201011,102542,102541,101,2009
201012,100592,100591,101,2009
201021,NA,NA,102,2009
201022,100162,100161,102,2009
201041,NA,NA,104,2009
201042,102132,102131,104,2009
201051,101452,101451,105,2009
201052,100922,100921,105,2009
201061,100562,100561,106,2009
201062,NA,NA,106,2009
201071,NA,NA,107,2009
201072,102062,102061,107,2009
201081,100162,100161,108,2009
201082,100342,100341,108,2009
201101,102552,102551,110,2009
201102,100692,100691,110,2009
201111,102042,102041,111,2009
201112,100852,100851,111,2009
201121,100542,100541,112,2009
201122,102322,102321,112,2009
201131,NA,NA,113,2009
201132,100342,100341,113,2009
201141,102482,102481,114,2009
201142,100702,100701,114,2009
201151,100292,100291,115,2009
201152,101662,101661,115,2009
201161,100072,100071,116,2009
201162,NA,NA,116,2009
201171,100202,100201,117,2009
201172,101102,101101,117,2009
201181,100722,100721,118,2009
201182,100232,100231,118,2009
201191,100702,100701,119,2009
201192,101022,101021,119,2009
201201,101452,101451,120,2009
201202,101512,101511,120,2009
201211,100022,100021,121,2009
201212,100262,100261,121,2009
201231,101492,101491,123,2009
